code,english-name,welsh-name,FID,map
E92000001,England,,1
K04000001,England and Wales,,4
K03000001,Great Britain,,3
N92000002,Northern Ireland,,5
S92000003,Scotland,,6
K02000001,United Kingdom,,2
W92000004,Wales,,7
