code,english-name,welsh-name,FID,map
E12000004,East Midlands,Dwyrain y Canolbarth,4,yes
E12000006,East of England,Dwyrain Lloegr,6,yes
E12000007,London,Llundain,7,yes
E12000001,North East,Gogledd Ddwyrain,1,yes
E12000002,North West,Gogledd Orllewin,2,yes
E12000008,South East,De Ddwyrain,8,yes
E12000009,South West,De Orllewin,9,yes
E12000005,West Midlands,Gorllewin y Canolbarth,5,yes
E12000003,Yorkshire and The Humber,Swydd Efrog a Humber,3,yes
